iter	Passed	Remaining
0	799	238904
1	1333	198745
2	1839	182131
3	2373	175660
4	2815	166101
5	3374	165365
6	3987	166910
7	4539	165693
8	5129	165863
9	5790	167919
10	6415	168559
11	7020	168501
12	7611	168047
13	8202	167566
14	8849	168134
15	9459	167907
16	10121	168488
17	10673	167225
18	11324	167478
19	11959	167432
20	12576	167086
21	13154	166222
22	13789	166072
23	14289	164328
24	14848	163331
25	15455	162873
26	16031	162094
27	16545	160724
28	17221	160933
29	17771	159939
30	18309	158875
31	18888	158189
32	19381	156813
33	19987	156373
34	20488	155127
35	21144	155057
36	21644	153852
37	22202	153078
38	22720	152050
39	23285	151354
40	23908	151030
41	24375	149735
42	25078	149888
43	25742	149776
44	26226	148614
45	26890	148484
46	27451	147771
47	27950	146740
48	28567	146335
49	29088	145444
50	29654	144782
51	30196	144012
52	30915	144077
53	31507	143533
54	32164	143277
55	32627	142161
56	33158	141360
57	33821	141119
58	34462	140770
59	34917	139670
60	35569	139360
61	36268	139223
62	36838	138583
63	37311	137586
64	37870	136917
65	38421	136220
66	39010	135663
67	39687	135405
68	40426	135342
69	41059	134909
70	41714	134543
71	42200	133636
72	42892	133376
73	43515	132900
74	44247	132743
75	44972	132551
76	45762	132531
77	46350	131921
78	46872	131125
79	47326	130148
80	47840	129345
81	48375	128608
82	49132	128454
83	49730	127878
84	50492	127715
85	51084	127116
86	51668	126499
87	52234	125837
88	52793	125163
89	53282	124326
90	53720	123380
91	54297	122758
92	54874	122140
93	55365	121331
94	55889	120603
95	56533	120133
96	57057	119409
97	57577	118680
98	58091	117943
99	58649	117299
100	59381	116998
101	59821	116124
102	60484	115684
103	61215	115367
104	61841	114849
105	62304	114028
106	62956	113557
107	63590	113050
108	64058	112249
109	64616	111610
110	65318	111217
111	65941	110687
112	66407	109895
113	67021	109351
114	67550	108667
115	68183	108153
116	68699	107452
117	69407	107051
118	69896	106312
119	70379	105569
120	70972	104992
121	71524	104355
122	72195	103891
123	72776	103294
124	73347	102686
125	74058	102271
126	74681	101732
127	75142	100972
128	75764	100432
129	76329	99815
130	76878	99178
131	77447	98569
132	77924	97845
133	78438	97170
134	79006	96563
135	79755	96175
136	80256	95487
137	80828	94885
138	81619	94537
139	82271	94024
140	83027	93626
141	83598	93018
142	84229	92475
143	84833	91903
144	85407	91297
145	86088	90805
146	86608	90143
147	87300	89659
148	87857	89037
149	88327	88327
150	88810	87634
151	89388	87036
152	90048	86517
153	90597	85891
154	91243	85357
155	91829	84765
156	92343	84109
157	93013	83594
158	93517	82930
159	94104	82341
160	94610	81682
161	95186	81085
162	95625	80372
163	96241	79809
164	96793	79194
165	97293	78538
166	97934	77995
167	98577	77453
168	99293	76967
169	99761	76288
170	100443	75773
171	100951	75126
172	101486	74501
173	102226	74025
174	102733	73380
175	103567	72968
176	104069	72319
177	104655	71729
178	105303	71182
179	105853	70569
180	106389	69946
181	107080	69425
182	107665	68835
183	108388	68332
184	109118	67830
185	109651	67205
186	110225	66607
187	110792	66003
188	111460	65461
189	112113	64908
190	112704	64318
191	113215	63683
192	113904	63149
193	114382	62497
194	115007	61926
195	115589	61332
196	116119	60712
197	116674	60105
198	117123	59444
199	117677	58838
200	118233	58234
201	118952	57709
202	119557	57128
203	120193	56561
204	120695	55932
205	121379	55386
206	121856	54747
207	122508	54186
208	123149	53620
209	123722	53023
210	124212	52392
211	124820	51812
212	125420	51228
213	126031	50648
214	126657	50074
215	127168	49454
216	127878	48912
217	128362	48283
218	128915	47681
219	129458	47075
220	130017	46476
221	130623	45894
222	131032	45244
223	131723	44691
224	132383	44127
225	133056	43567
226	133699	42995
227	134288	42406
228	135038	41867
229	135657	41286
230	136282	40707
231	136854	40112
232	137480	39532
233	138224	38986
234	138857	38407
235	139363	37793
236	140061	37231
237	140529	36608
238	141120	36018
239	141722	35430
240	142434	34869
241	143098	34296
242	143744	33717
243	144335	33126
244	144984	32547
245	145533	31946
246	146142	31358
247	146708	30761
248	147376	30185
249	147965	29593
250	148604	29010
251	149132	28406
252	149662	27802
253	150118	27186
254	150592	26575
255	151285	26002
256	151784	25395
257	152358	24802
258	153055	24228
259	153599	23630
260	154218	23044
261	154780	22449
262	155396	21861
263	156069	21282
264	156714	20698
265	157256	20100
266	157814	19505
267	158319	18903
268	159033	18327
269	159784	17753
270	160444	17169
271	161064	16580
272	161672	15989
273	162194	15390
274	162897	14808
275	163384	14207
276	164054	13621
277	164510	13018
278	165260	12438
279	165763	11840
280	166214	11238
281	166859	10650
282	167629	10069
283	168359	9485
284	169003	8894
285	169671	8305
286	170461	7721
287	171013	7125
288	171614	6532
289	172362	5943
290	172973	5349
291	173591	4755
292	174268	4163
293	174897	3569
294	175495	2974
295	176014	2378
296	176707	1784
297	177247	1189
298	177777	594
299	178429	0
