iter	MultiClass
0	1.237545702
1	1.134439375
2	1.051113856
3	0.9879642793
4	0.9369997692
5	0.8890794361
6	0.8483426605
7	0.8146323507
8	0.7848930442
9	0.7588570945
10	0.7370846398
11	0.7155001507
12	0.6970649095
13	0.6796923448
14	0.6665941792
15	0.6530638998
16	0.6417431631
17	0.6300733101
18	0.6192045862
19	0.6098922005
20	0.6017565471
21	0.5935717582
22	0.5842534832
23	0.578098741
24	0.5709364084
25	0.5659611702
26	0.5602892208
27	0.5554465765
28	0.5497652668
29	0.5450923297
30	0.5414530459
31	0.5394437751
32	0.5343481322
33	0.5316129356
34	0.5276300608
35	0.5243249768
36	0.5213192559
37	0.5169090538
38	0.5137698375
39	0.5121092811
40	0.5090452192
41	0.506012472
42	0.5037881416
43	0.5004193553
44	0.4983705912
45	0.4968040581
46	0.494906233
47	0.4916413947
48	0.4900331013
49	0.486923109
50	0.4843639617
51	0.4823781741
52	0.4801582813
53	0.478070376
54	0.4762038487
55	0.4745151699
56	0.473365452
57	0.4710440423
58	0.4696000023
59	0.4686582106
60	0.4670056932
61	0.4651811481
62	0.463726779
63	0.4626101699
64	0.4610207207
65	0.459257113
66	0.4583893769
67	0.4567492424
68	0.4556481426
69	0.453966038
70	0.452949649
71	0.4519575705
72	0.4503572693
73	0.4486732739
74	0.4476408188
75	0.4459444294
76	0.4446393562
77	0.4430431311
78	0.4420404426
79	0.4409069763
80	0.4400637403
81	0.4395639398
82	0.4387156478
83	0.4377179996
84	0.4368257241
85	0.4358655831
86	0.4353549348
87	0.4342763001
88	0.4336737478
89	0.4325870635
90	0.4318037067
91	0.4311645735
92	0.4303044618
93	0.4296710127
94	0.4287556839
95	0.4278524452
96	0.4268516864
97	0.4260090897
98	0.4247948492
99	0.4241039674
100	0.4234570364
101	0.4228117046
102	0.4223910816
103	0.4218570085
104	0.4210571139
105	0.4200719514
106	0.4193634993
107	0.4186530183
108	0.4179850812
109	0.4175057948
110	0.416511104
111	0.4157233154
112	0.4150101185
113	0.4142590438
114	0.4134546606
115	0.4131011435
116	0.4124613255
117	0.4118143011
118	0.4109903508
119	0.4104565152
120	0.4100909356
121	0.4094355976
122	0.4089843475
123	0.408374774
124	0.4074799559
125	0.4071065628
126	0.4066446855
127	0.4058729532
128	0.4052451633
129	0.4045684265
130	0.4041227618
131	0.4037645726
132	0.4032552863
133	0.4028088475
134	0.402147888
135	0.401783106
136	0.4012055599
137	0.400482529
138	0.3999080982
139	0.3996274215
140	0.3991635765
141	0.3986958509
142	0.398069472
143	0.3975391824
144	0.3971332989
145	0.3966035034
146	0.3962492359
147	0.3957834731
148	0.3953524324
149	0.3949794148
150	0.3945011992
151	0.3939545708
152	0.3936464143
153	0.3933704361
154	0.3928119206
155	0.3923343288
156	0.3918335604
157	0.3913661816
158	0.3911711081
159	0.3908964146
160	0.390533723
161	0.3902209947
162	0.3897488612
163	0.3894257914
164	0.389097387
165	0.3885272718
166	0.3882110281
167	0.3878938505
168	0.3876232504
169	0.3871146008
170	0.386656061
171	0.3863708485
172	0.3859313939
173	0.3855780542
174	0.3853495273
175	0.3851822953
176	0.3849315579
177	0.384205455
178	0.3839154786
179	0.3835112679
180	0.383268561
181	0.3828791611
182	0.3826032429
183	0.3824242346
184	0.3821012612
185	0.3818069978
186	0.381282319
187	0.3810365336
188	0.3806787059
189	0.3804713931
190	0.3801267983
191	0.3798947436
192	0.3795156365
193	0.379151475
194	0.3787047341
195	0.3783962577
196	0.3781065432
197	0.3779281613
198	0.3776506775
199	0.3773619701
200	0.3770097936
201	0.3766562296
202	0.3762849484
203	0.3761033758
204	0.3758445444
205	0.3753975508
206	0.3752072396
207	0.3748520784
208	0.374525807
209	0.374146136
210	0.3738145502
211	0.3735661851
212	0.3732917502
213	0.3729548337
214	0.3725925498
215	0.3724029282
216	0.372178766
217	0.3718619999
218	0.3716972896
219	0.3714709575
220	0.3711980066
221	0.3709867293
222	0.3707588178
223	0.3705351055
224	0.3702763582
225	0.3701452059
226	0.3699979145
227	0.369435586
228	0.3692437433
229	0.3689475522
230	0.3686229
231	0.3681482136
232	0.3679343699
233	0.367817064
234	0.3675142866
235	0.3673372324
236	0.366964598
237	0.3666844125
238	0.3665088849
239	0.3662867128
240	0.3661320909
241	0.366003596
242	0.3657791742
243	0.365596946
244	0.3654258794
245	0.3652321188
246	0.3649912107
247	0.3647738229
248	0.364608881
249	0.3643817196
250	0.3642049844
251	0.3640031706
252	0.3638016118
253	0.3636105432
254	0.3633471561
255	0.363216649
256	0.3631158786
257	0.3628868983
258	0.3626346754
259	0.3623692403
260	0.3621027409
261	0.3619033905
262	0.3617219595
263	0.3615458588
264	0.361368814
265	0.3610623805
266	0.360854533
267	0.3607324091
268	0.3604462536
269	0.3600748389
270	0.3598267088
271	0.3594883293
272	0.3593032915
273	0.3590352489
274	0.3589135543
275	0.3587620605
276	0.3584046033
277	0.3582855555
278	0.3580740943
279	0.357975261
280	0.3577928932
281	0.3576835565
282	0.3576009087
283	0.3574269452
284	0.3571907183
285	0.3569456745
286	0.3568195027
287	0.356526077
288	0.3563017302
289	0.3560466686
290	0.355848328
291	0.3556770574
292	0.3555074948
293	0.3552260375
294	0.3549972072
295	0.354799723
296	0.3545956559
297	0.3544143808
298	0.35423339
299	0.3540531457
300	0.353816233
301	0.3536414013
302	0.3533942913
303	0.3532774234
304	0.3531179637
305	0.3528868015
306	0.3527879566
307	0.3525573459
308	0.3523958408
309	0.3522005054
310	0.3520685309
311	0.3519000288
312	0.3517058081
313	0.3515954302
314	0.3514564127
315	0.3513582466
316	0.3512890448
317	0.3511951765
318	0.3510565438
319	0.3508570462
320	0.3507288787
321	0.3505598901
322	0.350305388
323	0.3501178445
324	0.3499520729
325	0.3498230513
326	0.3496765351
327	0.3496162705
328	0.349457832
329	0.3493329039
330	0.3492407559
331	0.3490182598
332	0.3488690258
333	0.3487915302
334	0.348603935
335	0.3484573092
336	0.3482472717
337	0.3481592317
338	0.3480706705
339	0.3479257372
340	0.3478423704
341	0.3477326549
342	0.3476206657
343	0.3475160747
344	0.3474098467
345	0.3472834845
346	0.3471307078
347	0.3470145029
348	0.3468635575
349	0.3467889763
350	0.3466954926
351	0.3465701468
352	0.3464664047
353	0.3463273549
354	0.3462181701
355	0.3461125685
356	0.3459972435
357	0.3458725083
358	0.3457218214
359	0.3455407154
360	0.3454479696
361	0.3453826068
362	0.3452387715
363	0.3451327692
364	0.3449420249
365	0.344821904
366	0.3447342853
367	0.3444883295
368	0.3443523848
369	0.3441956579
370	0.3440709011
371	0.3440238255
372	0.3439480391
373	0.3437747993
374	0.3436338109
375	0.3434323657
376	0.3432738471
377	0.3431286157
378	0.3430447884
379	0.3429472541
380	0.3427953184
381	0.3426738456
382	0.3425726158
383	0.342478508
384	0.3423385102
385	0.342245328
386	0.3421935512
387	0.342013249
388	0.3419173694
389	0.3417866743
390	0.3417028919
391	0.341529557
392	0.3414409408
393	0.3413600854
394	0.3412241008
395	0.3411016295
396	0.3410094234
397	0.3408133851
398	0.3406753598
399	0.3405689217
400	0.3405225796
401	0.3403249149
402	0.3402104859
403	0.3401020938
404	0.3400063048
405	0.3399050672
406	0.3398225966
407	0.3396981621
408	0.3395794338
409	0.3394971377
410	0.3393879597
411	0.3393063142
412	0.3391934895
413	0.3389874101
414	0.3388171593
415	0.3387147827
416	0.3385423129
417	0.3384538808
418	0.3382902468
419	0.3381992551
420	0.3381152407
421	0.3379811727
422	0.33791398
423	0.3378175124
424	0.3377631849
425	0.3376917343
426	0.3376095545
427	0.3375522605
428	0.3373986274
429	0.3373136148
430	0.3372092286
431	0.3370979712
432	0.3369877316
433	0.3368424098
434	0.3367732256
435	0.3366496793
436	0.3365125921
437	0.3363829173
438	0.3362416935
439	0.3361326096
440	0.336042238
441	0.3359405465
442	0.3358179279
443	0.335767714
444	0.3356810494
445	0.3355608619
446	0.3354799439
447	0.3354252419
448	0.3353404072
449	0.3352548361
450	0.3352120515
451	0.3351298934
452	0.3350391249
453	0.3348973696
454	0.3347451956
455	0.3346545799
456	0.334600391
457	0.334522118
458	0.3344158989
459	0.3343656073
460	0.3342410169
461	0.3341738233
462	0.3341012537
463	0.3340188474
464	0.3339438043
465	0.333866697
466	0.3337374224
467	0.3336334451
468	0.333523817
469	0.3334512602
470	0.3333146345
471	0.3332118746
472	0.3331009942
473	0.3329731207
