iter	Passed	Remaining
0	191	191063
1	350	174974
2	501	166672
3	1049	261429
4	1547	307869
5	2015	333838
6	2346	332929
7	2485	308251
8	2631	289744
9	2760	273268
10	2887	259581
11	3002	247171
12	3129	237600
13	3272	230495
14	3398	223136
15	3537	217564
16	3684	213076
17	3816	208221
18	3947	203820
19	4044	198186
20	4172	194538
21	4290	190738
22	4417	187634
23	4533	184363
24	4669	182119
25	4800	179828
26	4960	178759
27	5073	176118
28	5199	174090
29	5323	172126
30	5488	171563
31	5616	169898
32	5736	168095
33	5870	166795
34	5997	165359
35	6111	163657
36	6216	161799
37	6343	160602
38	6465	159304
39	6606	158550
40	6722	157240
41	6858	156444
42	6999	155773
43	7113	154553
44	7248	153829
45	7388	153229
46	7508	152248
47	7627	151280
48	7734	150117
49	7847	149105
50	7982	148544
51	8090	147497
52	8238	147200
53	8351	146314
54	8457	145320
55	8595	144898
56	8732	144465
57	8860	143909
58	8995	143469
59	9129	143035
60	9284	142915
61	9434	142729
62	9549	142026
63	9683	141616
64	9788	140797
65	9933	140578
66	10081	140390
67	10192	139699
68	10305	139045
69	10442	138737
70	10570	138314
71	10714	138103
72	10821	137418
73	10972	137307
74	11109	137021
75	11210	136290
76	11339	135930
77	11468	135561
78	11625	135534
79	11751	135138
80	11858	134544
81	11974	134051
82	12100	133686
83	12220	133266
84	12355	133004
85	12479	132626
86	12597	132203
87	12726	131891
88	12862	131660
89	13007	131518
90	13139	131248
91	13287	131141
92	13412	130803
93	13555	130648
94	13684	130365
95	13834	130270
96	13972	130074
97	14101	129790
98	14229	129506
99	14336	129026
100	14460	128713
101	14567	128255
102	14732	128298
103	14875	128158
104	15015	127990
105	15158	127846
106	15280	127529
107	15414	127308
108	15572	127297
109	15704	127059
110	15836	126833
111	15938	126366
112	16060	126064
113	16182	125771
114	16286	125335
115	16445	125326
116	16567	125035
117	16696	124796
118	16796	124349
119	16897	123911
120	17018	123628
121	17143	123375
122	17250	122995
123	17357	122620
124	17468	122278
125	17594	122046
126	17705	121709
127	17830	121471
128	17952	121210
129	18107	121179
130	18228	120922
131	18356	120705
132	18489	120531
133	18623	120354
134	18754	120167
135	18878	119931
136	19006	119728
137	19147	119605
138	19278	119416
139	19388	119103
140	19503	118821
141	19651	118736
142	19792	118618
143	19920	118417
144	20044	118193
145	20183	118057
146	20309	117849
147	20418	117544
148	20542	117325
149	20667	117116
150	20783	116857
151	20932	116783
152	21073	116661
153	21211	116525
154	21317	116216
155	21446	116029
156	21573	115839
157	21694	115610
158	21827	115452
159	21957	115278
160	22094	115140
161	22206	114871
162	22331	114672
